Year,Age group,Value
2010,,
2010,18-24,
2010,25-34,
2010,35-44,
2010,45-54,
2010,55+,
2011,,
2011,18-24,
2011,25-34,
2011,35-44,
2011,45-54,
2011,55+,
2012,,
2012,18-24,
2012,25-34,
2012,35-44,
2012,45-54,
2012,55+,
2013,,
2013,18-24,
2013,25-34,
2013,35-44,
2013,45-54,
2013,55+,
2014,,
2014,18-24,
2014,25-34,
2014,35-44,
2014,45-54,
2014,55+,
2015,,
2015,18-24,
2015,25-34,
2015,35-44,
2015,45-54,
2015,55+,
2016,,
2016,18-24,
2016,25-34,
2016,35-44,
2016,45-54,
2016,55+,
2017,,
2017,18-24,
2017,25-34,
2017,35-44,
2017,45-54,
2017,55+,
2018,,
2018,18-24,
2018,25-34,
2018,35-44,
2018,45-54,
2018,55+,
2019,,
2019,18-24,
2019,25-34,
2019,35-44,
2019,45-54,
2019,55+,
2020,,
2020,18-24,
2020,25-34,
2020,35-44,
2020,45-54,
2020,55+,
2021,,
2021,18-24,
2021,25-34,
2021,35-44,
2021,45-54,
2021,55+,
2022,,48.6
2022,18-24,42.2
2022,25-34,42.7
2022,35-44,43.7
2022,45-54,44.3
2022,55+,52.4
