Year,Sex,Age group,Diseases,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,15-24,,
2010,,25-34,,
2010,,35-44,,
2010,,45-54,,
2010,,55+,,
2010,,,xxx,
2010,,,xxx,
2010,,,xxx,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,15-24,,
2011,,25-34,,
2011,,35-44,,
2011,,45-54,,
2011,,55+,,
2011,,,xxx,
2011,,,xxx,
2011,,,xxx,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,15-24,,
2012,,25-34,,
2012,,35-44,,
2012,,45-54,,
2012,,55+,,
2012,,,xxx,
2012,,,xxx,
2012,,,xxx,
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,15-24,,
2013,,25-34,,
2013,,35-44,,
2013,,45-54,,
2013,,55+,,
2013,,,xxx,
2013,,,xxx,
2013,,,xxx,
2014,,,,
2014,Men,,,
2014,Women,,,
2014,,15-24,,
2014,,25-34,,
2014,,35-44,,
2014,,45-54,,
2014,,55+,,
2014,,,xxx,
2014,,,xxx,
2014,,,xxx,
2015,,,,
2015,Men,,,
2015,Women,,,
2015,,15-24,,
2015,,25-34,,
2015,,35-44,,
2015,,45-54,,
2015,,55+,,
2015,,,xxx,
2015,,,xxx,
2015,,,xxx,
2016,,,,
2016,Men,,,
2016,Women,,,
2016,,15-24,,
2016,,25-34,,
2016,,35-44,,
2016,,45-54,,
2016,,55+,,
2016,,,xxx,
2016,,,xxx,
2016,,,xxx,
2017,,,,
2017,Men,,,
2017,Women,,,
2017,,15-24,,
2017,,25-34,,
2017,,35-44,,
2017,,45-54,,
2017,,55+,,
2017,,,xxx,
2017,,,xxx,
2017,,,xxx,
2018,,,,
2018,Men,,,
2018,Women,,,
2018,,15-24,,
2018,,25-34,,
2018,,35-44,,
2018,,45-54,,
2018,,55+,,
2018,,,xxx,
2018,,,xxx,
2018,,,xxx,
2019,,,,
2019,Men,,,
2019,Women,,,
2019,,15-24,,
2019,,25-34,,
2019,,35-44,,
2019,,45-54,,
2019,,55+,,
2019,,,xxx,
2019,,,xxx,
2019,,,xxx,
2020,,,,
2020,Men,,,
2020,Women,,,
2020,,15-24,,
2020,,25-34,,
2020,,35-44,,
2020,,45-54,,
2020,,55+,,
2020,,,xxx,
2020,,,xxx,
2020,,,xxx,
2021,,,,
2021,Men,,,
2021,Women,,,
2021,,15-24,,
2021,,25-34,,
2021,,35-44,,
2021,,45-54,,
2021,,55+,,
2021,,,xxx,
2021,,,xxx,
2021,,,xxx,
2022,,,,
2022,Men,,,
2022,Women,,,
2022,,15-24,,
2022,,25-34,,
2022,,35-44,,
2022,,45-54,,
2022,,55+,,
2022,,,xxx,
2022,,,xxx,
2022,,,xxx,
