Year,Toxic waste by development regions,Toxic waste by toxicity class,Value
2010,,,
2010,Total ,,187.0
2010,Municipality Chisinau,,79.7
2010,North,,51.4
2010,Center,,41.4
2010,South,,174.7
2010,ATU Gagauzia,,
2010,,I,523.9
2010,,II,111.7
2010,,III,305.6
2010,,IV,232.5
2011,,,
2011,Total ,,190.5
2011,Municipality Chisinau,,68.5
2011,North,,34.3
2011,Center,,220.2
2011,South,,19577.8
2011,ATU Gagauzia,,
2011,,I,624.3
2011,,II,81.3
2011,,III,28.8
2011,,IV,274.6
2012,,,
2012,Total ,,175.6
2012,Municipality Chisinau,,60.7
2012,North,,50.8
2012,Center,,105.9
2012,South,,9002.0
2012,ATU Gagauzia,,
2012,,I,460.0
2012,,II,96.4
2012,,III,11.7
2012,,IV,556.9
2013,,,
2013,Total ,,137.2
2013,Municipality Chisinau,,29.7
2013,North,,14.2
2013,Center,,217.2
2013,South,,5187.5
2013,ATU Gagauzia,,
2013,,I,46.4
2013,,II,103.1
2013,,III,6.3
2013,,IV,429.8
2014,,,
2014,Total ,,144.8
2014,Municipality Chisinau,,75.2
2014,North,,29.0
2014,Center,,5.1
2014,South,,3618.0
2014,ATU Gagauzia,,
2014,,I,20.5
2014,,II,66.4
2014,,III,25.5
2014,,IV,1270.6
2015,,,
2015,Total ,,26.14
2015,Municipality Chisinau,,6.8
2015,North,,17.6
2015,Center,,3.5
2015,South,,256.2
2015,ATU Gagauzia,,633.3
2015,,I,0.9
2015,,II,12.4
2015,,III,54.7
2015,,IV,29.4
2016,,,
2016,Total ,,113.5
2016,Municipality Chisinau,,36.6
2016,North,,16.4
2016,Center,,64.3
2016,South,,1858.2
2016,ATU Gagauzia,,2100.0
2016,,I,0.0
2016,,II,94.7
2016,,III,46.0
2016,,IV,461.5
2017,,,
2017,Total ,,453.9
2017,Municipality Chisinau,,497.5
2017,North,,10.0
2017,Center,,17.5
2017,South,,13871.7
2017,ATU Gagauzia,,
2017,,I,
2017,,II,149.5
2017,,III,107.4
2017,,IV,714.6
2018,,,
2018,Total ,,109.3
2018,Municipality Chisinau,,18.1
2018,North,,29.5
2018,Center,,134.8
2018,South,,5989.6
2018,ATU Gagauzia,,
2018,,I,50.6
2018,,II,32.6
2018,,III,207.7
2018,,IV,639.4
2019,,,
2019,Total ,,110.5
2019,Municipality Chisinau,,98.1
2019,North,,4.5
2019,Center,,56.8
2019,South,,1960.9
2019,ATU Gagauzia,,
2019,,I,19.3
2019,,II,115.8
2019,,III,805.6
2019,,IV,82.5
2020,,,487.9
2020,Total ,,
2020,Municipality Chisinau,,
2020,North,,
2020,Center,,
2020,South,,
2020,ATU Gagauzia,,
2020,,I,
2020,,II,
2020,,III,
2020,,IV,
2021,,,155.7
2021,Total ,,
2021,Municipality Chisinau,,
2021,North,,
2021,Center,,
2021,South,,
2021,ATU Gagauzia,,
2021,,I,
2021,,II,
2021,,III,
2021,,IV,
2022,,,
2022,Total ,,
2022,Municipality Chisinau,,
2022,North,,
2022,Center,,
2022,South,,
2022,ATU Gagauzia,,
2022,,I,
2022,,II,
2022,,III,
2022,,IV,
